0.7	     -90.47279136         0.27883768         7.58756283
0.75	     -90.98730388         0.23518926         6.39982811
0.8	     -91.36859280         0.19796772         5.38697823
0.85	     -91.64850097         0.16576930         4.51081426
0.9	     -91.85129863         0.13775376         3.74847207
0.95	     -91.99630280         0.11316419         3.07935577
1.0	     -92.09798264         0.09140431         2.48723889
1.05	     -92.16698205         0.07208949         1.96165576
1.1	     -92.21134645         0.05495622         1.49543559
1.15	     -92.23725970         0.03981007         1.08328767
1.2	     -92.24946227         0.02654999         0.72246238
1.25	     -92.25148181         0.01520162         0.41365732
1.3	     -92.24587801         0.00572004         0.15565040
1.35	     -92.23258980         0.00193308         0.05260184
1.4	     -92.21084494         0.00721301         0.19627596
1.45	     -92.18797155         0.00991528         0.26980851
1.5	     -92.16710484         0.01153564         0.31390087
1.6	     -92.12735589         0.01360173         0.37012216
1.7	     -92.09059076         0.01685008         0.45851430
1.8	     -92.05412304         0.02187602         0.59527711
1.9	     -92.00848812         0.02554930         0.69523203
2.0	     -91.97058830         0.02831910         0.77060217
2.1	     -91.94276615         0.02810967         0.76490348
2.2	     -91.92166669         0.02557059         0.69581157
2.3	     -91.90504258         0.02170523         0.59062952
2.4	     -91.89404908         0.01470249         0.40007531
2.5	     -91.89196121         0.00126396         0.03439405
2.6	     -91.88394813         0.00629295         0.17124004
2.7	     -91.88355352         0.00519093         0.14125240
2.8	     -91.88384734         0.00358729         0.09761510
2.9	     -91.88332709         0.00306976         0.08353241
3.0	     -91.88149023         0.00340719         0.09271439
3.1	     -91.87775391         0.00528478         0.14380623
3.2	     -91.87252361         0.00875544         0.23824786
3.3	     -91.87016008         0.01015954         0.27645519
3.4	     -91.87886795         0.00334647         0.09106199
3.5	     -91.89060521         0.00087249         0.02374162
3.6	     -91.89689525         0.00087964         0.02393615
3.7	     -91.89943427         0.00205823         0.05600731
3.8	     -91.90061390         0.00286960         0.07808588
3.9	     -91.90122388         0.00339702         0.09243765
4.0	     -91.88327641         0.01831087         0.49826443
4.1	     -91.88307709         0.01874732         0.51014088
4.2	     -91.88288078         0.01910236         0.51980189
4.3	     -91.88269103         0.01939539         0.52777554
4.4	     -91.88251345         0.01964093         0.53445720
4.5	     -91.88234522         0.01984901         0.54011926
4.6	     -91.88218783         0.02002890         0.54501426
4.7	     -91.88203896         0.02018678         0.54931051
4.8	     -91.88189983         0.02032751         0.55313991
4.9	     -91.88177057         0.02045344         0.55656671
5.0	     -91.88165040         0.02056647         0.55964250
5.1	     -91.88153349         0.02067173         0.56250673
5.2	     -91.88142416         0.02076910         0.56515620
5.3	     -91.88131886         0.02085990         0.56762695
5.4	     -91.88122133         0.02094413         0.56991904
5.5	     -91.88112558         0.02102469         0.57211125
5.6	     -91.88103265         0.02110087         0.57418428
5.7	     -91.79384019         0.10827858         2.94641148
5.8	     -91.88086218         0.02123927         0.57795015
5.9	     -91.88078072         0.02130313         0.57968790
6.0	     -91.88070494         0.02136392         0.58134221
6.1	     -91.88062627         0.02142507         0.58300605
6.2	     -91.88055352         0.02148176         0.58454858
6.3	     -91.88048004         0.02153772         0.58607132
6.4	     -91.88041207         0.02159014         0.58749796
6.5	     -91.88034600         0.02164066         0.58887264
6.6	     -91.88027948         0.02169034         0.59022442
6.7	     -91.88021649         0.02173735         0.59150374
6.8	     -91.88015452         0.02178408         0.59277516
6.9	     -91.88009506         0.02182893         0.59399554
7.0	     -91.72163914         0.15839905         4.31025942
7.1	     -91.72123326         0.15874834         4.31976413
7.2	     -91.72083370         0.15908911         4.32903698
7.3	     -91.72045251         0.15941665         4.33794982
7.4	     -91.72008069         0.15973691         4.34666444
7.5	     -91.71972253         0.16004641         4.35508636
7.6	     -91.71936561         0.16035206         4.36340357
7.7	     -91.71901901         0.16065039         4.37152141
7.8	     -91.71868931         0.16093541         4.37927727
7.9	     -91.71835944         0.16121634         4.38692164
8.0	     -91.71803341         0.16149520         4.39450991
