1.0           -2.79674173         0.15872778         4.31920452
1.1           -3.06274437         0.19201802         5.22507863
1.2           -3.24935361         0.21563572         5.86774905
1.3           -3.38603524         0.22506454         6.12432041
1.4           -3.48990363         0.22064361         6.00402066
1.5           -3.56768129         0.20822720         5.66615298
1.6           -3.62314030         0.19287926         5.24851411
1.7           -3.66026559         0.17673262         4.80914146
1.75          -3.67301244         0.16882811         4.59404863
1.8           -3.68228849         0.16139349         4.39174226
1.85          -3.68870510         0.15421290         4.19634842
1.9           -3.69261554         0.14729460         4.00809179
1.95          -3.69431963         0.14065426         3.82739889
2.0           -3.69408747         0.13429458         3.65434319
2.05          -3.69216162         0.12820741         3.48870273
2.1           -3.68875889         0.12237923         3.33010974
2.15          -3.68407085         0.11679800         3.17823659
2.2           -3.67826946         0.11145276         3.03278527
2.25          -3.67150564         0.10633760         2.89359462
2.3           -3.66391048         0.10144584         2.76048294
2.4           -3.64667281         0.09229600         2.51150306
2.5           -3.62734107         0.08390824         2.28326031
2.6           -3.60655403         0.07618595         2.07312601
2.7           -3.58483811         0.06904075         1.87869525
2.8           -3.56261678         0.06239835         1.69794624
2.9           -3.54022723         0.05619910         1.52925594
3.0           -3.51793885         0.05039294         1.37126228
3.1           -3.49596614         0.04493935         1.22286258
3.2           -3.47448051         0.03980115         1.08304481
3.3           -3.45361125         0.03494535         0.95091170
3.4           -3.43344910         0.03033452         0.82544470
3.5           -3.41406070         0.02593242         0.70565731
3.6           -3.39549830         0.02171056         0.59077479
3.7           -3.37778964         0.01764573         0.48016484
3.8           -3.36094639         0.01372373         0.37344182
3.9           -3.34500029         0.00995879         0.27099248
4.0           -3.33000864         0.00643020         0.17497473
4.1           -3.31579691         0.00297569         0.08097262
4.2           -3.30221933         0.00020446         0.00556356
4.3           -3.28668283         0.00312246         0.08496640
4.4           -3.27204178         0.00581370         0.15819900
4.5           -3.25831904         0.00822734         0.22387752
4.6           -3.24554789         0.01031182         0.28059913
4.7           -3.23357794         0.01210491         0.32939139
4.8           -3.22407792         0.01194468         0.32503138
4.9           -3.21569544         0.01110485         0.30217843
5.0           -3.20752749         0.01055263         0.28715171
5.1           -3.19948175         0.01030238         0.28034216
5.2           -3.19152317         0.01038972         0.28271886
5.3           -3.18362827         0.01082463         0.29455338
5.4           -3.17579190         0.01158923         0.31535923
5.5           -3.16801247         0.01266187         0.34454714
5.6           -3.16029711         0.01401238         0.38129633
5.7           -3.15458914         0.01367856         0.37221260
5.8           -3.15015122         0.01238197         0.33693073
5.9           -3.14607505         0.01101664         0.29977811
6.0           -3.14535721         0.00657368         0.17887898
6.1           -3.14702938         0.00213236         0.05802437
6.2           -3.14238386         0.01057413         0.28773698
6.3           -3.13796532         0.01866334         0.50785564
6.4           -3.13375664         0.02632163         0.71624838
6.5           -3.12974218         0.03348465         0.91116421
6.6           -3.12590785         0.04011776         1.09166017
6.7           -3.12224414         0.04619467         1.25702154
6.8           -3.11873936         0.05171494         1.40723587
6.9           -3.11048706         0.00489154         0.13310576
7.0           -3.11214496         0.06117785         1.66473476
7.5           -3.09766623         0.07731742         2.10391495
8.0           -3.07862468         0.00708410         0.19276818
8.5           -3.06809861         0.00781989         0.21279012
9.0           -3.05954399         0.00839818         0.22852634
9.5           -3.05253324         0.00891890         0.24269584
10.0          -3.04671176         0.00941387         0.25616452
