0.6       -0.10623962418432D+03
0.65       -0.10716097164640D+03
0.7       -0.10782549451735D+03
0.75       -0.10830187020539D+03
0.8       -0.10864000782319D+03
0.85       -0.10887628611444D+03
0.9       -0.10903744459189D+03
0.95       -0.10914333707018D+03
1.0       -0.10920883955605D+03
1.05       -0.10924516591331D+03
1.1       -0.10926078726356D+03
1.15       -0.10926209523747D+03
1.2       -0.10925389863164D+03
1.3       -0.10922250769105D+03
1.4       -0.10918580591617D+03
1.5       -0.10915420749332D+03
1.6       -0.10913291396276D+03
1.7       -0.10912405743385D+03
1.8       -0.10912809478467D+03
1.9       -0.10914465853877D+03
2.0       -0.10917300068807D+03
2.1       -0.10921220615401D+03
2.2       -0.10926131202162D+03
2.3       -0.10931938776433D+03
2.4       -0.10938558541927D+03
2.5       -0.10945916062108D+03
2.6       -0.10953946962209D+03
2.7       -0.10962595078634D+03
2.8       -0.10971809844064D+03
2.9       -0.10981543610602D+03
3.0       -0.10991749360231D+03
3.1       -0.11002379125646D+03
3.2       -0.11013383299261D+03
3.3       -0.11024710850582D+03
3.4       -0.11036310302360D+03
3.5       -0.11048131171056D+03
3.6       -0.11060125500894D+03
3.7       -0.11072249196320D+03
3.8       -0.11084462952473D+03
3.9       -0.11096732749810D+03
4.0       -0.11109029976077D+03
