0.7 -107.613566882    
0.75 -108.079695030   
0.8 -108.407358634    
0.85 -108.632856755   
0.9 -108.782798935    
0.95 -108.876887446   
1.0 -108.929838386    
1.05 -108.952703865   
1.1 -108.953796241    
1.15 -108.939355903   
1.2 -108.914051975    
1.3 -108.843887595    
1.4 -108.761718000    
1.5 -108.677513841    
1.6 -108.596373328    
1.7 -108.520608158    
1.8 -108.451043240    
1.9 -108.387780639    
2.0 -108.330582754    
2.1 -108.279045233    
2.2 -108.232686197    
2.3 -108.191003453    
2.4 -108.153510202    
2.5 -108.119753388    
2.6 -108.089321068    
2.7 -108.061844310    
2.8 -108.036996495    
2.9 -108.014491146    
3.0 -107.994078775    
3.1 -107.975543087    
3.2 -107.958696796    
3.3 -107.943377212    
3.4 -107.929441831    
3.5 -107.916764203    
3.6 -107.905230404    
3.7 -107.894736303    
3.8 -107.885185657    
3.9 -107.876488934    
4.0 -107.868562659    
