1.2	     -92.44785977         0.04657560         1.26738709
1.3	     -92.45036763         0.02899950         0.78911680
1.4	     -92.43195628         0.01519722         0.41353746
1.5	     -92.40430321         0.00436262         0.11871305
1.6	     -92.37414252         0.00000058         0.00001569
1.7	     -92.34527088        -0.00000050        -0.00001359
1.8	     -92.31969304        -0.00000053        -0.00001437
1.9	     -92.29836070         0.00000104         0.00002835
2.0	     -92.28154305        -0.00000006        -0.00000174
2.1	     -92.26895518        -0.00000052        -0.00001418
2.2	     -92.25994010         0.00000019         0.00000526
2.3	     -92.25369933        -0.00000080        -0.00002180
2.4	     -92.24946876        -0.00000130        -0.00003550
2.5	     -92.24662109        -0.00000038        -0.00001035
2.6	     -92.24469291        -0.00000053        -0.00001453
2.7	     -92.24336371        -0.00000041        -0.00001118
2.8	     -92.24242407         0.00000073         0.00001999
2.9	     -92.24174385        -0.00000009        -0.00000252
3.0	     -92.24123920        -0.00000058        -0.00001572
3.1	     -92.24085498         0.00000002         0.00000057
3.2	     -92.24055931        -0.00000060        -0.00001633
3.3	     -92.24032605         0.00000054         0.00001471
3.4	     -92.24013972        -0.00000002        -0.00000048
3.5	     -92.23998843        -0.00000003        -0.00000078
3.6	     -92.23986301         0.00000048         0.00001295
4.0	     -92.13968629         0.09973932         2.71404632
4.1	     -92.13961974         0.09976705         2.71480070
4.2	     -92.13956658         0.09978757         2.71535912
4.3	     -92.13951343         0.09981381         2.71607325
4.4	     -92.13947288         0.09983277         2.71658921
4.5	     -92.13944149         0.09984664         2.71696660
4.6	     -92.13941756         0.09985668         2.71723967
4.7	     -92.13939950         0.09986393         2.71743711
4.8	     -92.13938623         0.09986911         2.71757806
4.9	     -92.13938693         0.09987809         2.71782228
5.0	     -92.13936835         0.09987539         2.71774891
5.1	     -92.13937244         0.09987996         2.71787325
5.2	     -92.13936794         0.09988053         2.71788861
5.3	     -92.13936424         0.09988091         2.71789914
5.4	     -92.13935245         0.09988023         2.71788045
5.5	     -92.13935936         0.09988147         2.71791417
5.6	     -92.13935764         0.09988164         2.71791899
5.7	     -92.13935637         0.09988178         2.71792270
5.8	     -92.13935515         0.09988190         2.71792605
5.9	     -92.09549757         0.04385660         1.19339931
6.0	     -92.13938334        -0.00002990        -0.00081371
6.1	     -92.13935263         0.09988216         2.71793320
6.2	     -92.13935212         0.09988225         2.71793541
6.3	     -92.08476659         0.00001233         0.00033561
6.4	     -92.08477929        -0.00001008        -0.00027436
6.5	     -92.08476564         0.00001255         0.00034162
6.6	     -92.08476520         0.00001262         0.00034348
6.7	     -92.08475663         0.00001288         0.00035058
6.8	     -92.13934941         0.09988252         2.71794279
6.9	     -91.75836051         0.00103150         0.02806867
7.0	     -92.13934882         0.09988260         2.71794502
7.1	     -91.81596445         0.00142088         0.03866409
7.2	     -92.08372125        -0.00068582        -0.01866215
7.3	     -92.13934828         0.09988269         2.71794755
7.4	     -92.08477658        -0.00001182        -0.00032163
7.5	     -91.81206642         0.00120085         0.03267691
7.6	     -91.81115509         0.00115285         0.03137070
7.7	     -92.13934547         0.00000195         0.00005313
7.8	     -91.80940154         0.00106429         0.02896070
7.9	     -91.80855759         0.00102326         0.02784432
8.0	     -92.08477376         0.15445657         4.20297887
