0.7	     -90.62926189         0.26975587         7.34043399
0.75	     -91.14713716         0.22822487         6.21031754
0.8	     -91.53146470         0.19355836         5.26699319
0.85	     -91.81437613         0.16421669         4.46856560
0.9	     -92.02037545         0.13916310         3.78682237
0.95	     -92.16819844         0.11759337         3.19987984
1.0	     -92.25221580         0.11878486         3.23230197
1.05	     -92.30254392         0.12298704         3.34664916
1.1	     -92.33029531         0.12695541         3.45463402
1.15	     -92.34150236         0.13063402         3.55473422
1.2	     -92.34079064         0.13394072         3.64471416
1.25	     -92.33183954         0.13670393         3.71990497
1.3	     -92.31766048         0.13865606         3.77302515
1.35	     -92.30033013         0.13969201         3.80121481
1.4	     -92.28167227         0.13957635         3.79806751
1.45	     -92.26179188         0.13900919         3.78263420
1.5	     -92.24217389         0.13840697         3.76624683
1.6	     -92.20968685         0.13725057         3.73477982
1.7	     -92.18476004         0.12926860         3.51757923
1.8	     -92.17198233         0.11065186         3.01099160
1.9	     -92.15352123         0.09602752         2.61304280
2.0	     -92.13628599         0.08414757         2.28977290
2.1	     -92.12189318         0.07489016         2.03786587
2.2	     -92.10971721         0.06816396         1.85483654
2.3	     -92.09929644         0.06371374         1.73373993
2.4	     -92.09036602         0.06102422         1.66055426
2.5	     -92.08622177         0.05631073         1.53229351
2.6	     -92.08287880         0.05312184         1.44551940
2.7	     -92.08012327         0.05105296         1.38922238
2.8	     -92.07907080         0.04849530         1.31962495
2.9	     -92.07807462         0.04672933         1.27157042
3.0	     -92.07700636         0.04560428         1.24095607
3.1	     -92.07573421         0.04502357         1.22515431
3.2	     -92.07430307         0.04482537         1.21976095
3.3	     -92.07373832         0.04434581         1.20671147
3.4	     -92.07531987         0.04281711         1.16511329
3.5	     -92.07713434         0.04119288         1.12091578
3.6	     -92.07800376         0.04011770         1.09165862
3.7	     -92.07831038         0.03940230         1.07219174
3.8	     -92.06879748         0.04850061         1.31976923
3.9	     -92.06849534         0.04847160         1.31897987
4.0	     -92.06879763         0.04794017         1.30451888
4.1	     -92.07823616         0.03830674         1.04238002
4.2	     -92.03074213         0.06291110         1.71189892
4.3	     -92.07809581         0.03819242         1.03926900
4.4	     -92.07803182         0.03816074         1.03840707
4.5	     -92.07797311         0.03813926         1.03782242
4.6	     -92.07791932         0.03812485         1.03743029
4.7	     -92.07787072         0.03811667         1.03720771
4.8	     -92.07782655         0.03811084         1.03704921
4.9	     -92.07778572         0.03811049         1.03703955
5.0	     -92.07774863         0.03811074         1.03704647
5.1	     -92.07771453         0.03811366         1.03712580
5.2	     -92.07768268         0.03811766         1.03723463
5.3	     -92.07765288         0.03812335         1.03738949
5.4	     -92.07898757         0.03676716         1.00048573
5.5	     -92.06621489         0.04952385         1.34761300
5.6	     -92.07757390         0.03814345         1.03793667
5.7	     -92.07559437         0.04010686         1.09136355
