0.7	     -90.20470886         0.68941142        18.75984749
0.75	     -90.66242297         0.70740589        19.24950217
0.8	     -91.00510302         0.71352112        19.41590607
0.85	     -91.70090388         0.27019965         7.35250980
0.9	     -91.90292849         0.24780602         6.74314793
0.95	     -92.04699218         0.22844899         6.21641615
1.0	     -92.14734654         0.21153282         5.75610345
1.05	     -91.89141155         0.52002571        14.15062598
1.1	     -92.08564378         0.35537029         9.67012184
1.15	     -92.22553273         0.22809416         6.20676071
1.2	     -92.21995905         0.23391112         6.36504831
1.25	     -92.20542379         0.23984542         6.52652876
1.3	     -92.18471941         0.24582372         6.68920672
1.35	     -92.16027727         0.25151510         6.84407719
1.4	     -92.13505787         0.25542099         6.95036185
1.45	     -92.11432623         0.25185656         6.85336884
1.5	     -92.09443151         0.24770803         6.74048145
1.6	     -92.06281102         0.23259659         6.32927813
1.7	     -92.03881792         0.21230122         5.77701279
1.8	     -92.01828422         0.19087514         5.19397917
1.9	     -92.00278169         0.16398634         4.46229736
2.0	     -91.99012711         0.14019430         3.81488277
2.1	     -91.95644195         0.14422440         3.92454729
2.2	     -91.94757563         0.12891022         3.50782715
2.3	     -91.94009830         0.11657695         3.17222171
2.4	     -91.97167189         0.06870046         1.86943544
2.5	     -91.96934426         0.05754992         1.56601362
2.6	     -91.92445125         0.09124541         2.48291505
2.7	     -91.92098786         0.08535891         2.32273519
2.8	     -91.96343435         0.03506596         0.95419368
2.9	     -91.91584593         0.07603823         2.06910652
3.0	     -91.91393417         0.07234595         1.96863425
3.1	     -91.91236096         0.06915420         1.88178226
3.2	     -91.91103129         0.06641419         1.80722290
3.3	     -91.90994846         0.06400519         1.74167055
3.4	     -91.90901929         0.06192673         1.68511276
3.5	     -91.90821240         0.06012646         1.63612484
3.6	     -91.90753943         0.05852991         1.59268054
3.7	     -91.90694300         0.05713890         1.55482927
3.8	     -91.90641864         0.05591401         1.52149822
3.9	     -91.90595386         0.05483114         1.49203197
4.0	     -91.90553593         0.05387052         1.46589222
4.1	     -91.90516126         0.05301207         1.44253233
4.2	     -91.90482264         0.05224224         1.42158419
4.3	     -91.90451518         0.05154732         1.40267447
4.4	     -91.90423207         0.05121200         1.39354997
4.5	     -91.90542552         0.04977697         1.35450089
4.6	     -91.90373129         0.05124427         1.39442827
4.7	     -91.90350783         0.05125534         1.39472934
4.8	     -91.90329949         0.05126389         1.39496192
4.9	     -91.90310198         0.05127031         1.39513672
5.0	     -91.90291596         0.05127540         1.39527535
5.1	     -91.90274173         0.05127929         1.39538113
5.2	     -91.90257473         0.05128225         1.39546174
5.3	     -91.90232982         0.05137091         1.39787416
5.4	     -91.90202427         0.05152647         1.40210728
5.5	     -91.90173126         0.05167598         1.40617561
5.6	     -91.90144827         0.05182033         1.41010363
5.7	     -91.90117707         0.05195969         1.41389581
5.8	     -91.90091313         0.05209457         1.41756600
5.9	     -91.90065930         0.05222530         1.42112329
6.0	     -91.90041310         0.05235233         1.42458008
6.1	     -91.90017444         0.05247608         1.42794744
6.2	     -91.89994321         0.05259628         1.43121817
6.3	     -91.89971760         0.05271378         1.43441549
6.4	     -91.89949735         0.05282821         1.43752950
6.5	     -91.89928503         0.05293970         1.44056312
6.6	     -91.89907870         0.05304857         1.44352567
6.7	     -91.89887680         0.05315501         1.44642212
6.8	     -91.89868006         0.05325903         1.44925246
6.9	     -91.89848988         0.05336052         1.45201432
7.0	     -91.89830385         0.05345972         1.45471375
7.1	     -91.89812155         0.05355697         1.45735988
7.2	     -91.89794327         0.05365213         1.45994928
7.3	     -91.89777080         0.05374520         1.46248206
7.4	     -91.89760164         0.05383602         1.46495322
7.5	     -91.89743718         0.05392497         1.46737368
7.6	     -91.89727569         0.05401246         1.46975452
7.7	     -91.89711755         0.05409807         1.47208409
7.8	     -91.89696469         0.05418120         1.47434625
7.9	     -91.89681479         0.05426337         1.47658203
8.0	     -91.89666658         0.05434401         1.47877632
