2.4	     -91.87807450         0.03067707         0.83476598
2.5	     -91.88017406         0.01305111         0.35513882
2.6	     -91.88183966         0.00847006         0.23048229
2.7	     -91.88293543         0.00587371         0.15983193
2.8	     -91.88333630         0.00409833         0.11152123
2.9	     -91.88287904         0.00351780         0.09572433
3.0	     -91.88121099         0.00368643         0.10031301
3.1	     -91.87775391         0.00533506         0.14517456
3.2	     -91.87226237         0.00906190         0.24658704
3.3	     -91.87004152         0.01027810         0.27968133
3.4	     -91.87816050         0.00405391         0.11031265
3.5	     -91.88282692         0.00865079         0.23539995
3.6	     -91.88350541         0.01426942         0.38829086
3.7	     -91.88367595         0.01781655         0.48481333
3.8	     -91.88361945         0.01986405         0.54052864
3.9	     -91.88346666         0.02115424         0.57563639
4.0	     -91.88327641         0.02204813         0.59996037
4.1	     -91.88307709         0.02270905         0.61794490
4.2	     -91.88288078         0.02322149         0.63188920
4.3	     -91.88269103         0.02364545         0.64342582
4.4	     -91.88251345         0.02399461         0.65292678
4.5	     -91.88234523         0.02429690         0.66115257
4.6	     -91.88218784         0.02455864         0.66827490
4.7	     -91.88203896         0.02479448         0.67469235
4.8	     -91.88274147         0.02415747         0.65735847
4.9	     -91.88291338         0.02404553         0.65431258
5.0	     -91.84735762         0.05964378         1.62299057
5.1	     -91.84746358         0.05957902         1.62122828
5.2	     -91.84754261         0.05953049         1.61990790
5.3	     -91.84759416         0.05950758         1.61928425
5.4	     -91.84763799         0.05948841         1.61876267
5.5	     -91.84767374         0.05947375         1.61836384
5.6	     -91.84770175         0.05946324         1.61807787
5.7	     -91.84772771         0.05945401         1.61782652
5.8	     -91.84775363         0.05944396         1.61755304
5.9	     -91.84777677         0.05942789         1.61711586
6.0	     -91.84780179         0.05941428         1.61674543
6.1	     -91.84781849         0.05940601         1.61652053
6.2	     -91.84784265         0.05938963         1.61607481
6.3	     -91.84785856         0.05937810         1.61576109
6.4	     -91.84787642         0.05936583         1.61542718
6.5	     -91.84789583         0.05935130         1.61503179
6.6	     -91.84791192         0.05933758         1.61465830
6.7	     -91.84792531         0.05932782         1.61439293
6.8	     -91.84794051         0.05931496         1.61404292
6.9	     -91.84796055         0.05929835         1.61359082
7.0	     -91.84797499         0.05928315         1.61317717
7.1	     -91.84798605         0.05927344         1.61291298
7.2	     -91.84799928         0.05925741         1.61247690
7.3	     -91.84800967         0.05925080         1.61229715
7.4	     -91.84802283         0.05923726         1.61192869
7.5	     -91.84804005         0.05921655         1.61136509
7.6	     -91.84804849         0.05920723         1.61111137
7.7	     -91.84806185         0.05919221         1.61070264
7.8	     -91.84807161         0.05918163         1.61041475
7.9	     -91.84807929         0.05916963         1.61008814
8.0	     -91.84808748         0.05916068         1.60984466
