3.9	     -92.13785869         0.09994177         2.71955526
4.0	     -92.14749075        -0.00191784        -0.05218705
4.1	     -92.13799796         0.00014530         0.00395369
4.2	     -92.13800690        -0.00145105        -0.03948502
4.3	     -92.13799165         0.09845204         2.67901740
4.4	     -92.11241385         0.02562417         0.69726940
4.5	     -92.13794310         0.09846581         2.67939213
4.6	     -92.09435231         0.04357565         1.18575429
4.7	     -92.13791851         0.09846846         2.67946426
4.8	     -92.13791947        -0.00011807        -0.00321287
4.9	     -92.13782322         0.00013664         0.00371812
