1.7	     -76.65218664         0.27591373         7.50799787
1.8	     -76.81626820         0.27823691         7.57121496
1.9	     -76.93144382         0.28438472         7.73850532
2.0	     -77.00444233         0.29806859         8.11086269
2.1	     -77.05131732         0.31140619         8.47379732
2.2	     -77.10239016         0.30016238         8.16783752
2.3	     -77.15272751         0.27423131         7.46221695
2.35	     -77.17245177         0.26206929         7.13127138
2.4	     -77.18906394         0.25049341         6.81627541
2.45	     -77.20291249         0.23953243         6.51801204
2.5	     -77.21431459         0.22905423         6.23288554
2.55	     -77.22288019         0.21975853         5.97993641
2.6	     -77.22403719         0.21648355         5.89081983
2.65	     -77.22396100         0.21324449         5.80268046
2.7	     -77.22284660         0.20999801         5.71433925
2.8	     -77.21833387         0.20339677         5.53471006
2.9	     -77.21033976         0.19751870         5.37475980
3.0	     -77.20121856         0.19159271         5.21350536
3.2	     -77.17971268         0.18138966         4.93586603
3.4	     -77.15615707         0.17149079         4.66650389
3.6	     -77.13275897         0.16203504         4.40919970
3.8	     -77.10999932         0.15278939         4.15761283
4.0	     -77.08646616         0.13580502         3.69544419
4.2	     -77.07639070         0.09215098         2.50755682
4.4	     -77.05721600         0.11043327         3.00504350
