1.7  -76.8797452567 
1.8  -77.0473076219 
1.9  -77.1691372092 
2.0  -77.2558133445 
2.1  -77.3154545019 
2.2  -77.3543207588 
2.3  -77.3772603112 
2.35  -77.3839694800
2.4  -77.3880388682 
2.45  -77.3898102399
2.5  -77.3895850017 
2.55  -77.3876289450
2.6  -77.3841764398 
2.65  -77.3794341519
2.7  -77.3735843382 
2.8  -77.3591862776 
2.9  -77.3420547151 
3.0  -77.3230255620 
3.2  -77.2817381486 
3.4  -77.2389894364 
3.6  -77.1969884864 
3.8  -77.1571649771 
4.0  -77.1212714747 
4.2  -77.0929359201 
4.4  -77.0731270175 
4.6  -77.0595227273 
4.8  -77.0500102136 
5.0  -77.0432003160 
5.2  -77.0382172546 
5.4  -77.0345025010 
5.6  -77.0316904968 
5.8  -77.0295348956 
6.0  -77.0278648791 
6.2  -77.0265588946 
6.4  -77.0255285518 
6.6  -77.0247085058 
6.8  -77.0240498998 
7.0  -77.0235159558 
7.2  -77.0230788988 
7.4  -77.0227177325 
7.6  -77.0224165864 
7.8  -77.0221634560 
8.0  -77.0219492312 
9.0  -77.0212643601 
10.0  -77.0209379967
11.0  -77.0207688947
12.0  -77.0206710234
